friction_model,x1,spacing_m,n_total,a,b,beta,r2
brunone,4000.0,10.0,3,,2.462469094566288e-05,2.9253431145609055,-0.8110526114908796
brunone,4000.0,10.0,4,,0.021994186158342418,4.999999999999999,-0.37525020478758164
brunone,4000.0,10.0,5,,0.02069953131747809,4.052807779127668,-0.03835369901676544
brunone,4000.0,10.0,6,,0.016933891533759998,2.9526043939168867,0.1363646892839474
brunone,4000.0,10.0,7,,0.014567960968711146,2.3977647493515213,0.28155053358681703
brunone,4000.0,10.0,8,,0.014375263125501485,1.7008538173055698,0.532977994154008
brunone,4000.0,20.0,3,,0.022338445670083133,4.999999999999999,-0.05668326151126846
brunone,4000.0,20.0,4,,0.016945820002432093,2.649953401284129,0.2385409179772866
brunone,4000.0,20.0,5,,0.015497695242833601,1.7693991452176214,0.4563273745009129
brunone,4000.0,20.0,6,,0.01563942151276814,0.8984324745121106,0.8632935937684106
brunone,4000.0,20.0,7,,0.012909671050918422,0.7780223261445303,0.8903172386234279
brunone,4000.0,20.0,8,,0.013587221342278934,0.6455399911271313,0.8763046072152817
brunone,4000.0,30.0,3,,0.03306317952247243,0.7841953524625428,1.0
brunone,4000.0,30.0,4,,0.048336146418153675,0.4639048899231571,0.9976383746185584
brunone,4000.0,30.0,5,,0.05454726605501015,0.3879548444987777,0.9967572391028809
brunone,4000.0,30.0,6,,0.03738828028065146,0.38842958198767114,0.9969284615295045
brunone,4000.0,30.0,7,,0.026190436641293342,0.4359250337592259,0.9904802481233023
brunone,4000.0,30.0,8,,0.026854389513657692,0.4228441728684701,0.9818826099737534
brunone,4000.0,40.0,3,,0.9999999999999999,0.14732069464298894,0.9999241885724638
brunone,4000.0,40.0,4,,0.05091402655081649,0.3522331484035377,0.9995370421811912
brunone,4000.0,40.0,5,,0.038449502219064305,0.3546634556600783,0.9997177090581181
brunone,4000.0,40.0,6,,0.024584733320664607,0.42675281030884765,0.9989474717249583
brunone,4000.0,40.0,7,,0.024137697444310647,0.41059027374967416,0.9993064561017145
