x1,spacing_m,n_total,A_fit,gamma_local,R2_local,P_1
2500.0,90.0,8,2.7106562588510315,0.30048790554606136,0.9646283371105056,2.9129949237922768
2500.0,100.0,2,1.0404805138842086,0.8311427119504207,1.0,1.0404805138842086
2500.0,100.0,3,1.5510712770100037,0.6114945403795928,0.9849357354831748,1.569675735263976
2500.0,100.0,4,2.06959801214465,0.4388685378496284,0.9782017121623353,2.1223531875351123
2500.0,100.0,5,2.7146759045650364,0.38955829022883043,0.9809318601976874,2.801111934547327
2500.0,100.0,6,2.7383149409600502,0.3639703209048698,0.924198577186414,2.9564893291540657
2500.0,100.0,7,2.8683931518747743,0.3536407990954297,0.9128159568060024,3.156946852955465
2500.0,100.0,8,2.7149000748359113,0.3051407951669391,0.9626690695044332,2.9209143659027403
3000.0,10.0,2,2.7049944876376397,0.7792093357866211,1.0,2.7049944876376397
3000.0,10.0,3,2.5111867066159994,0.5722092342458348,0.98770495020468,2.538948796438972
3000.0,10.0,4,2.6846616843802398,0.535619949639075,0.9857845083558998,2.7381188339228206
3000.0,10.0,5,2.988817819319176,0.5198151496538485,0.9839362403092979,3.071783368171281
3000.0,10.0,6,2.9741915943778934,0.475515535895684,0.9861484960146939,3.069125708677348
3000.0,10.0,7,3.2841474408720743,0.4392868686756448,0.9870176943021693,3.3971305249123454
3000.0,10.0,8,3.0236172864506856,0.4398400347196585,0.9971796849744157,3.070730574603771
3000.0,20.0,2,2.7052892211877584,0.7723883780026106,1.0,2.7052892211877584
3000.0,20.0,3,2.4562587851552458,0.7932980868297497,0.9994026246541384,2.4510464382512924
3000.0,20.0,4,2.824639135420955,0.7273438371948517,0.9938760149733225,2.843533027747177
3000.0,20.0,5,2.916333982034593,0.7000037260093608,0.9855984498552107,2.957823076790051
3000.0,20.0,6,2.8943311419224713,0.6034813980879647,0.975011138679404,2.971184469706205
3000.0,20.0,7,3.153976092360701,0.6010965947723351,0.9814815933549936,3.2259248713171083
3000.0,20.0,8,3.3571370592758325,0.6711103709503593,0.9806350130349323,3.4196532491553127
3000.0,30.0,2,2.7133671830728887,0.7646024740864881,1.0,2.7133671830728887
3000.0,30.0,3,2.5845517003394725,0.828576575993528,0.9999491642877917,2.583012138774629
3000.0,30.0,4,3.130362108111902,0.8086743845553321,0.9975897042780264,3.121821177501196
3000.0,30.0,5,2.7648700180256665,0.7225777622498025,0.9973612348759275,2.772408587375891
3000.0,30.0,6,2.9300599170077013,0.6770764591316752,0.9962863754169836,2.9471472168080544
3000.0,30.0,7,3.2015625054835346,0.7107474523148137,0.9940353156518499,3.201148624760361
3000.0,30.0,8,3.564022547755682,0.6841433819783732,0.9943154903690276,3.5546574487296536
3000.0,40.0,2,2.7215481074505834,0.757273177250702,1.0,2.7215481074505834
3000.0,40.0,3,2.618439876834871,0.8323731082968603,0.9999859020748202,2.6192561415966584
3000.0,40.0,4,3.0669136396701258,0.7547631339757027,0.997299504605572,3.050455566261772
3000.0,40.0,5,2.772717132745662,0.736342674849802,0.993768733001264,2.7946973822687053
3000.0,40.0,6,3.1319321668688564,0.6795505314686089,0.9955596480877834,3.1421693109254183
3000.0,40.0,7,3.1270059302061797,0.6844124922013438,0.9930146137628529,3.1431951974943257
3000.0,40.0,8,3.3244403919397083,0.6905715194122362,0.9930026865679796,3.355344194438175
3000.0,50.0,2,2.7313023922267043,0.7692703691801352,1.0,2.7313023922267043
3000.0,50.0,3,2.599739776105258,0.8159837669192522,0.9999323167426442,2.5979298116076284
3000.0,50.0,4,3.0708737496249237,0.7228533135296416,0.9947321925782737,3.063474470422541
3000.0,50.0,5,2.89164879244054,0.6733068387764565,0.9840004561810208,2.942837284999333
3000.0,50.0,6,3.257016889117906,0.7106164832194187,0.9893851385308828,3.283218151890248
3000.0,50.0,7,3.3276064406961083,0.6548648213760522,0.9887594229462477,3.379175622902844
3000.0,50.0,8,2.7488031749298814,0.5946879401705705,0.9805298878688786,2.811514698505992
3000.0,60.0,2,2.730955013053874,0.7504171443942994,1.0,2.730955013053874
3000.0,60.0,3,2.5168367665940816,0.783305034850551,0.9989430461689619,2.509652128754635
3000.0,60.0,4,3.0841833916253165,0.752440047588576,0.9951082940685582,3.0875232841278337
3000.0,60.0,5,2.884551252331996,0.6734248119820635,0.9808214979515177,2.938614409232612
3000.0,60.0,6,3.172265238431672,0.6652632621640007,0.9854428292445292,3.2258069038751613
3000.0,60.0,7,2.8552985615638176,0.5904813815001722,0.9836471454545459,2.9130156512192014
3000.0,60.0,8,2.857416975516459,0.5287662264853111,0.9857512589137752,2.9139635854332573
3000.0,70.0,2,2.737130531752661,0.7561032957840329,1.0,2.737130531752661
3000.0,70.0,3,2.599934204229103,0.5520763697676226,0.9891364159199915,2.6271775733272205
3000.0,70.0,4,2.9723546900787237,0.5462219387195099,0.9810862064346452,3.039887658454606
3000.0,70.0,5,3.152110722703739,0.5101701086617637,0.9897262746186529,3.221406205076184
3000.0,70.0,6,3.1086141537907332,0.4715741539371246,0.9946442840584426,3.1592095253752457
3000.0,70.0,7,2.892089574255571,0.44085223657788686,0.9958182990001713,2.9418838216799648
3000.0,70.0,8,2.9917113041768624,0.41158752635281765,0.9974934516250116,3.019114358320824
3000.0,80.0,2,2.732206044337336,0.7477714621212834,1.0,2.732206044337336
3000.0,80.0,3,2.6404276431216043,0.5608054217361949,0.9905289973526255,2.666186759922359
3000.0,80.0,4,2.9909650082195793,0.48908027521635655,0.9621817995268476,3.090150687806821
3000.0,80.0,5,3.0586159015334964,0.4036004528999749,0.97797116573536,3.166656403233411
3000.0,80.0,6,2.849479039760739,0.35373947568882336,0.97122576824148,2.99432018270848
3000.0,80.0,7,3.1008832730339235,0.33119307136025533,0.9882819791793224,3.220027021880702
3000.0,80.0,8,2.8513820281839672,0.29418823270515065,0.9805178200746029,3.014694557015266
3000.0,90.0,2,2.7329431263267274,0.7463688171149296,1.0,2.7329431263267274
3000.0,90.0,3,2.7164279857613143,0.5663281551992007,0.992647742077988,2.7397436995242628
3000.0,90.0,4,3.047348079254347,0.47928731597424173,0.9636393587759201,3.147049222406161
3000.0,90.0,5,2.8683971333302507,0.378273684805465,0.9747344385874586,2.977887251240826
3000.0,90.0,6,2.760314140803609,0.34172537652139284,0.9711603321188077,2.900655704988011
3000.0,90.0,7,2.8879454091192454,0.3158388032995259,0.9843566206085983,3.0175111931362304
3000.0,90.0,8,2.8227564043332785,0.2989975535754361,0.9746467243619247,3.0019434368518176
3000.0,100.0,2,2.7438108528474188,0.7499375786526099,1.0,2.7438108528474188
3000.0,100.0,3,2.7720458855455012,0.5779254196841029,0.9949896610481685,2.7916152999864634
3000.0,100.0,4,3.0710493373803147,0.470349566850064,0.9721316365895236,3.1586102046321627
3000.0,100.0,5,2.6420075538110734,0.36549382631060306,0.9604437224879669,2.7670958709158664
3000.0,100.0,6,2.7857248681452567,0.32577037360738287,0.96907518668331,2.9309726640576126
3000.0,100.0,7,2.789736287156286,0.3127529893110914,0.9772713660358939,2.9364982580234056
3000.0,100.0,8,2.806458060685086,0.30604827648355104,0.965888488110654,3.0098355350674755
3500.0,10.0,2,2.720035490035533,0.7479807745541467,1.0,2.720035490035533
