friction_model,Cf,Kleak,x1,spacing_m,n_total,frac_idx,x_f,delta_x,P_1d,P_2d,alpha_1d,alpha_2d
steady,5e-06,0.0,3000.0,20.0,3,1,3000.290023201856,0.0,0.5645420673272639,0.17864542424762989,1.0,1.0
steady,5e-06,0.0,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.1299857999652259,0.08128490475048326,0.23024998044985975,0.45500692275112486
steady,5e-06,0.0,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.02739259145983149,0.023991570129979607,0.048521789686138767,0.13429714324349903
steady,5e-06,1e-05,3000.0,20.0,3,1,3000.290023201856,0.0,0.5705007552623603,0.17053551741802214,1.0,1.0
steady,5e-06,1e-05,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.12878298889412945,0.07857198682903908,0.22573675443234967,0.4607367897236381
steady,5e-06,1e-05,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.02660840966905661,0.02748124944142428,0.04664044600049654,0.1611467796122573
steady,5e-06,5e-05,3000.0,20.0,3,1,3000.290023201856,0.0,0.5797899519963311,0.16812779960349267,1.0,1.0
steady,5e-06,5e-05,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.12659194663698164,0.07008579271715971,0.2183410495492387,0.4168602270561314
steady,5e-06,5e-05,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.025816395664151445,0.028604704814721032,0.044527152592521664,0.1701366750899106
steady,5e-06,0.0001,3000.0,20.0,3,1,3000.290023201856,0.0,0.5804639914408665,0.15361810513010407,1.0,1.0
steady,5e-06,0.0001,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.1285844329025923,0.07591012054375072,0.22152008530867082,0.49414826774135784
steady,5e-06,0.0001,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.02650433504548864,0.030480357441031388,0.045660601581327745,0.19841643935925782
steady,5e-06,0.0005,3000.0,20.0,3,1,3000.290023201856,0.0,0.6059918507250283,0.2701662242331318,1.0,1.0
steady,5e-06,0.0005,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.05844806874070449,0.1712374194000453,0.09645025534712279,0.6338224546243839
steady,5e-06,0.0005,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.019032035571746774,0.07201366946193889,0.03140642163582931,0.2665531920814678
steady,5e-06,0.001,3000.0,20.0,3,1,3000.290023201856,0.0,0.29294518657375385,0.325924202059559,1.0,1.0
steady,5e-06,0.001,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.05347121775303697,0.1990477396414402,0.18252977076848026,0.6107178858876716
steady,5e-06,0.001,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.014287935727328843,0.08898840225415257,0.04877341011961504,0.27303404193926945
steady,1e-05,0.0,3000.0,20.0,3,1,3000.290023201856,0.0,0.5484713436324287,0.1542953233089484,1.0,1.0
steady,1e-05,0.0,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.1284677894882551,0.07820169863058823,0.23422880881512545,0.5068312956835608
steady,1e-05,0.0,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.02936396829043468,0.03334009953241048,0.053537834986897063,0.21607978010877865
steady,1e-05,1e-05,3000.0,20.0,3,1,3000.290023201856,0.0,0.5502295671777067,0.15805630793096448,1.0,1.0
steady,1e-05,1e-05,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.12860154430057344,0.08000880103383681,0.23372343467511122,0.5062044158894493
steady,1e-05,1e-05,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.029124097234898068,0.03397587407884029,0.05293081101454497,0.21496057021450993
steady,1e-05,5e-05,3000.0,20.0,3,1,3000.290023201856,0.0,0.5645187451667816,0.20943694404676788,1.0,1.0
steady,1e-05,5e-05,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.13076421298973215,0.08574680186943419,0.23163838952964996,0.4094158375911304
steady,1e-05,5e-05,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.028576029724286627,0.029519536869529052,0.050620160922812435,0.14094713329534284
steady,1e-05,0.0001,3000.0,20.0,3,1,3000.290023201856,0.0,0.5837102438172065,0.17507474558937802,1.0,1.0
