friction_model,x1,n_total,spacing_m,frac_idx,x_true,x_extracted,loc_error_m,P_1d,P_2d,alpha_2d,mu_coda,sigma_coda,PSR_dB,tau_s_ms
steady,3000.0,8,20,2,3020.0,3020.591647331786,0.5916473317861346,0.1308380415626371,1.6159065655277025,0.4725352097984925,-0.00898433021536965,0.015281117373227146,40.533381876244036,27.586206896551722
steady,3000.0,8,20,3,3040.0,3039.443155452436,0.5568445475641965,0.0243421507299056,0.6954398331284949,0.2033655995093289,-0.00898433021536965,0.015281117373227146,33.273582666243556,27.586206896551722
steady,3000.0,8,20,4,3060.0,3059.7447795823664,0.25522041763360903,0.0134748050824168,0.5536832184702141,0.1619120940425697,-0.00898433021536965,0.015281117373227146,31.32193513666765,27.586206896551722
steady,3000.0,8,20,5,3080.0,3080.046403712297,0.04640371229697848,0.0052142097542687,0.4064287296231568,0.1188508600173273,-0.00898433021536965,0.015281117373227146,28.68650068654886,27.586206896551722
steady,3000.0,8,20,6,3100.0,3100.348027842227,0.34802784222711125,0.0027123664581551,0.2739295084377123,0.0801044692193208,-0.00898433021536965,0.015281117373227146,25.3499815969947,27.586206896551722
steady,3000.0,8,20,7,3120.0,3120.6496519721577,0.6496519721576988,0.001116000877501,0.2311263437914965,0.0675876549321446,-0.00898433021536965,0.015281117373227146,23.925127106400254,27.586206896551722
steady,3000.0,8,20,8,3140.0,3139.501160092808,0.49883990719217763,0.0016862187232836,0.1837801443506183,0.0537423332017694,-0.00898433021536965,0.015281117373227146,22.017437746612064,27.586206896551722
steady,3000.0,8,30,1,3000.0,3000.290023201856,0.29002320185600183,0.6232510408406192,3.5546574487296536,1.0,-0.004577658386057493,0.012372987921638344,49.177641750496555,41.37931034482759
steady,3000.0,8,30,2,3030.0,3029.2923433874707,0.7076566125292629,0.1275868324889391,1.8779464607407936,0.5283058882120766,-0.004577658386057493,0.012372987921638344,43.64531920337396,41.37931034482759
steady,3000.0,8,30,3,3060.0,3059.7447795823664,0.25522041763360903,0.0258601027019552,0.7711486068296719,0.2169403431841966,-0.004577658386057493,0.012372987921638344,35.94467814881853,41.37931034482759
steady,3000.0,8,30,4,3090.0,3090.197215777262,0.19721577726204487,0.0121868886376283,0.4181435508266612,0.1176325867844439,-0.004577658386057493,0.012372987921638344,30.671588985632766,41.37931034482759
steady,3000.0,8,30,5,3120.0,3120.6496519721577,0.6496519721576988,0.0073431762963702,0.2786991071391985,0.0784039281306272,-0.004577658386057493,0.012372987921638344,27.1947273199837,41.37931034482759
steady,3000.0,8,30,6,3150.0,3149.6519721577724,0.348027842227566,0.0045015094009187,0.2141034864544393,0.0602318196739195,-0.004577658386057493,0.012372987921638344,24.946734997454296,41.37931034482759
